Species	Geographic Origin
Ametrida centurio	South America
Anoura caudifer	South America
Anoura cultrata	South America
Anoura geoffroyi	South America
Antrozous pallidus	North America
Artibeus amplus	South America
Artibeus anderseni	South America
Artibeus aztecus	North America
Artibeus cinereus	South America
Artibeus concolor	South America
Artibeus fimbriatus	South America
Artibeus fraterculus	South America
Artibeus glaucus	South America
Artibeus glaucus gnomus	South America
Artibeus glaucus watsoni	South America
Artibeus hartii	South America
Artibeus hirsutus	North America
Artibeus inopinatus	South America
Artibeus intermedius	South America
Artibeus jamaicensis	South America
Artibeus lituratus	South America
Artibeus obscurus	South America
Artibeus phaeotis	South America
Artibeus planirostris	South America
Artibeus toltecus	South America
Aselliscus dongbacana	Asia
Aselliscus stoliczkanus	Asia
Balantiopteryx infusca	South America
Balantiopteryx io	South America
Balantiopteryx plicata	South America
Balionycteris maculata	Asia
Barbastella caspica	Middle East
Barbastella leucomelas	Middle East
Barbastella pacifica	Middle East
Boneia bidens	Asia
Brachyphylla nana	Asia
Brachyphylla nana pumila	Asia
Cardioderma cor	Africa
Carollia brevicauda	South America
Carollia castanea	South America
Carollia perspicillata	South America
Carollia sowelli	South America
Carollia subrufa	South America
Casinycteris argynnis	Africa
Casinycteris campomaanensis	Africa
Casinycteris ophiodon	Africa
Centronycteris centralis	South America
Centronycteris maximiliani	South America
Centurio senex	South America
Chaerephon plicatus	Asia
Chalinolobus morio	Australlia
Chalinolobus tuberculatus	Australlia
Cheiromeles parvidens	Asia
Chilonatalus micropus	South America
Chiroderma doriae	South America
Chiroderma gorgasi	South America
Chiroderma salvini	South America
Chiroderma trinitatum	South America
Chiroderma villosum	South America
Chrotopterus auritus	South America
Cistugo lesueuri	Africa
Cistugo seabrae	Africa
Coelops frithii	Asia
Coleura afra	Africa
Cormura brevirostris	South America
Corynorhinus rafinesquii	North America
Corynorhinus townsendii	North America
Cynopterus brachyotis	Asia
Cynopterus sphinx	Asia
Cyttarops alecto	South America
Dermanura bogotensis	South America
Desmodus rotundus	South America
Diaemus youngi	South America
Diclidurus albus	South America
Diclidurus ingens	South America
Diclidurus isabellus	South America
Diclidurus scutatus	South America
Diphylla ecaudata	South America
Dobsonia inermis	Australlia
Dobsonia minor	Australlia
Dobsonia viridis	Australlia
Ectophylla alba	South America
Eidolon helvum	Africa
Emballonura alecto	Asia
Emballonura beccarii	Australlia
Emballonura monticola	Asia
Emballonura raffrayana	Australlia
Eonycteris spelaea	Asia
Epomophorus crypturus	Africa
Epomophorus gambianus	Africa
Epomophorus labiatus	Africa
Epomophorus minimus	Africa
Epomophorus minor	Africa
Epomophorus wahlbergi	Africa
Epomops buettikoferi	Africa
Epomops dobsonii	Africa
Epomops franqueti	Africa
Eptesicus brasiliensis	South America
Eptesicus fuscus	North America
Eptesicus japonensis	Asia
Eptesicus macrotus	Unknown
Eptesicus magellanicus	Unknown
Eptesicus montanus	Unknown
Eptesicus nilssonii	Europe/Asia
Eptesicus serotinus	Europe/Asia
Erophylla bombifrons	Caribbean
Erophylla sezekorni	Caribbean
Eumops auripendulus	South America
Eumops glaucinus	South America
Eumops perotis	North America/South America
Falsistrellus mackenziei	Australlia
Falsistrellus tasmaniensis	Australlia
Furipterus horrens	South America
Gardnerycteris crenulatum	South America
Glauconycteris beatrix	Africa
Glossophaga commissarisi	North America/South America
Glossophaga leachii	South America
Glossophaga longirostris	South America
Glossophaga morenoi	South America
Glossophaga soricina	South America
Glyphonycteris daviesi	South America
Glyphonycteris sylvestris	South America
Harpiocephalus harpia	Asia
Harpiocephalus mordax	Asia
Hipposideros aff. ruber	Africa
Hipposideros armiger	Asia
Hipposideros cineraceus	Asia
Hipposideros diadema	Asia/Australlia
Hipposideros larvatus	Asia
Hipposideros pomona	Asia
Hipposideros pratti	Asia
Hipposideros ruber	Africa
Hipposideros terasensis	Asia
Hsunycteris thomasi	South America
Hylonycteris underwoodi	South America
Hypsignathus monstrosus	Africa
Hypsugo alaschanicus	Asia
Hypsugo cadornae	Asia
Hypsugo dolichodon	Asia
Hypsugo macrotis	Asia
Hypsugo pulveratus	Asia
Hypsugo savii	Africa/Middle East
Ia io	Asia
Idionycteris phyllotis	North America
Kerivoula hardwickii	Asia
Kerivoula kachinensis	Asia
Kerivoula papillosa	Asia
Kerivoula pellucida	Asia
Kerivoula picta	Asia
Kerivoula titania	Asia
Kerivoula whiteheadi	Asia
Laephotis wintoni	Africa
Lasionycteris noctivagans	North America
Lavia frons	Africa
Leptonycteris curasoae	South America
Leptonycteris yerbabuenae	North America
Lionycteris spurrelli	South America
Lissonycteris angolensis	Africa
Lissonycteris angolensis ruwenzorii	Africa
Lonchophylla chocoana	South America
Lonchophylla mordax	South America
Lonchophylla robusta	South America
Macroderma gigas	Australlia
Macroglossus minimus	Asia/Australlia
Macroglossus sobrinus	Asia
Macronycteris commersoni	Africa
Macronycteris gigas	Africa
Macrotus californicus	North America
Macrotus waterhousii	North America/Caribbean
Megaderma lyra	Asia
Megaderma spasma	Asia
Megaerops niphanae	Asia
Megaloglossus azagnyi	Africa
Megaloglossus woermanni	Africa
Melonycteris fardoulisi	Australlia
Mesophylla macconnelli	South America
Micronycteris brachyotis	Unknown
Micronycteris brosseti	South America
Micronycteris giovanniae	South America
Micronycteris hirsuta	South America
Micronycteris homezi	South America
Micronycteris matses	South America
Micronycteris microtis	South America
Micronycteris minuta	South America
Micronycteris nicefori	Unknown
Micronycteris schmidtorum	South America
Micronycteris tresamici	Unknown
Micropteropus pusillus	Africa
Miniopterus fraterculus	Africa
Miniopterus fuliginosus	Asia
Miniopterus schreibersii	Europe/Asia/Middle East/Australlia/Africa
Mirimiri acrodonta	Australlia
Mirostrellus joffrei	Asia
Molossus alvarezi	South America
Molossus ater	North America/South America
Molossus aztecus	North America/South America
Molossus coibensis	South America
Molossus currentium	South America
Molossus fentoni	South America
Molossus milleri	South America
Molossus molossus	South America
Molossus pretiosus	South America
Molossus rufus	South America
Molossus sinaloae	South America
Molossus verrilli	Unknown
Monophyllus plethodon	Caribbean
Monophyllus redmani	Caribbean
Mormoops blainvillei	Caribbean
Mormoops megalophylla	North America/South America
Mormopterus beccarii	Asia/Australlia
Mormopterus kalinowskii	South America
Murina cyclotis	South America
Murina florium	Asia/Australlia
Murina leucogaster	Asia
Murina shuipuensis	Asia
Murina suilla	Asia
Myonycteris brachycephala	Africa
Myonycteris leptodon	Africa
Myonycteris relicta	Africa
Myonycteris torquata	Africa
Myotis adversus	Asia
Myotis albescens	South America
Myotis alcathoe	Europe
Myotis altarium	Asia
Myotis annectans	Asia
Myotis auriculus	North America
Myotis badius	Asia
Myotis bechsteinii	Europe
Myotis blythii	Europe/Asia
Myotis bocagii	Africa
Myotis brandtii	Europe/Asia
Myotis capaccinii	Europe/Middle East
Myotis chinensis	Asia
Myotis dasycneme	Europe/Asia
Myotis daubentonii	Europe/Asia
Myotis davidii	Asia
Myotis dominicensis	Caribbean
Myotis emarginatus	Europe/Middle East/Africa/Asia
Myotis evotis	North America
Myotis fimbriatus	Asia
Myotis formosus	Asia
Myotis frater	Asia
Myotis goudoti	Africa
Myotis hasseltii	Asia
Myotis horsfieldii	Asia
Myotis keaysi	South America
Myotis laniger	Asia
Myotis leibii	North America
Myotis levis	South America
Myotis longipes	Asia
Myotis lucifugus	North America
Myotis macrodactylus	Asia
Myotis macrotarsus	Asia
Myotis montivagus	Asia
Myotis muricola	Asia
Myotis myotis	Europe/Middle East
Myotis mystacinus	Europe/Asia
Myotis nattereri	Europe/Africa
Myotis nigricans	South America
Myotis oxygnathus	Europe/Asia
Myotis oxyotus	South America
Myotis pruinosus	Asia
Myotis punicus	Africa
Myotis ricketti	Asia
Myotis riparius	South America
Myotis ruber	South America
Myotis scotti	Africa
